Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-11-11,Hanging Leg Raise,Abs,0.0,lbs,10,,,,"Form started getting sloppy, i got tired"
2025-11-13,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,""
2025-11-13,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,""
2025-11-13,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-11-13,Assisted Pull Up,Back,60.0,lbs,12,,,,"Easier if i have my thumbs like a sideways thumbs up into the bar"
2025-11-13,Assisted Pull Up,Back,60.0,lbs,7,,,,"Didn't push as hard as possible. Drank water just before set and mental is worse than usual"
2025-11-13,Assisted Pull Up,Back,60.0,lbs,7,,,,""
2025-11-13,Seated Cable Row,Back,75.0,lbs,12,,,,"Forearms were getting tired so i loosened the grip but pulled for back the same way"
2025-11-13,Seated Cable Row,Back,75.0,lbs,11,,,,""
2025-11-13,Seated Cable Row,Back,75.0,lbs,8,,,,""
2025-11-13,Dumbbell Curl,Biceps,25.0,lbs,8,,,,""
2025-11-13,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-11-13,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-11-18,Flat Barbell Bench Press,Chest,105.0,lbs,9,,,,""
2025-11-18,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,""
2025-11-18,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-11-18,Cable Overhead Triceps Extension,Triceps,30.0,lbs,6,,,,""
2025-11-18,Cable Overhead Triceps Extension,Triceps,30.0,lbs,6,,,,""
2025-11-18,Cable Overhead Triceps Extension,Triceps,30.0,lbs,5,,,,""
2025-11-18,Lateral Dumbbell Raise,Shoulders,15.0,lbs,9,,,,""
2025-11-18,Lateral Dumbbell Raise,Shoulders,10.0,lbs,5,,,,"Having a hard time pushing myself today"
2025-11-18,Lateral Dumbbell Raise,Shoulders,10.0,lbs,7,,,,""
2025-12-01,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,""
2025-12-01,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-12-01,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-12-01,Overhead Press,Shoulders,35.0,lbs,6,,,,""
2025-12-01,Overhead Press,Shoulders,35.0,lbs,5,,,,""
2025-12-01,Overhead Press,Shoulders,35.0,lbs,4,,,,""
2025-12-01,Dumbbell Curl,Biceps,25.0,lbs,8,,,,""
2025-12-01,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
2025-12-01,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-12-04,Overhead Press,Shoulders,35.0,lbs,10,,,,""
2025-12-04,Overhead Press,Shoulders,35.0,lbs,8,,,,""
2025-12-04,Overhead Press,Shoulders,35.0,lbs,6,,,,""
2025-12-04,Seated Cable Row,Back,80.0,lbs,12,,,,""
2025-12-04,Seated Cable Row,Back,85.0,lbs,10,,,,"Grip loosened quite a bit on the last 3-4 reps"
2025-12-04,Seated Cable Row,Back,85.0,lbs,7,,,,""
2025-12-04,Cable Overhead Triceps Extension,Triceps,30.0,lbs,10,,,,"Not grabbing ball anymore, flexing abs, feels different"
2025-12-04,Cable Overhead Triceps Extension,Triceps,30.0,lbs,8,,,,""
2025-12-04,Cable Overhead Triceps Extension,Triceps,30.0,lbs,5,,,,""
2025-12-04,Cable Overhead Triceps Extension,Triceps,20.0,lbs,3,,,,"Drop set, no rest before this set"
2025-12-04,Cable Overhead Triceps Extension,Triceps,10.0,lbs,8,,,,"Drop set, no rest before this set"
2025-12-04,Dumbbell Curl,Biceps,25.0,lbs,10,,,,""
2025-12-04,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-12-04,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-12-04,Dumbbell Curl,Biceps,15.0,lbs,5,,,,"Drop set, no rest before this set"
2025-12-04,Dumbbell Curl,Biceps,10.0,lbs,8,,,,"Drop set, no rest before this set"
